actual_profit,ask,bid,closed,date,deal,ecc,entry_ema,etf,expected_profit,fast_ema,name,order,price,rr,slow_ema,symbol,tcc,time,trend,ttf,volume,win
7.55,0,0,TRUE,24/01/2024,0,600,5,M1,7.6,8,FingerTrap,1168101569,0,2,20,NZDUSD-T,50,08:20:01,3,M5,0.05,TRUE
-4.51,0,0,TRUE,24/01/2024,0,600,5,M1,9.76,8,FingerTrap,1168102267,0,2.5,20,USDJPY-T,50,28:00.2,3,M5,0.18,FALSE
-4.51,0,0,TRUE,24/01/2024,0,600,5,M1,5.85,8,FingerTrap,1168102268,0,1.5,20,USDJPY-T,50,28:00.3,3,M5,0.18,FALSE
-4.51,0,0,TRUE,24/01/2024,0,600,5,M1,7.8,8,FingerTrap,1168102270,0,2,20,USDJPY-T,50,28:00.4,3,M5,0.18,FALSE
-4.15,0,0,TRUE,24/01/2024,0,600,5,M1,9.76,8,FingerTrap,1168102458,0,2.5,20,USDJPY-T,50,30:00.8,3,M5,0.18,FALSE
10,0,0,TRUE,24/01/2024,0,600,5,M1,10,8,FingerTrap,1168102946,0,2.5,20,AUDUSD-T,50,08:32:00,3,M5,0.1,TRUE
6,0,0,TRUE,24/01/2024,0,600,5,M1,6,8,FingerTrap,1168102947,0,1.5,20,AUDUSD-T,50,08:32:00,3,M5,0.1,TRUE
8,0,0,TRUE,24/01/2024,0,600,5,M1,8,8,FingerTrap,1168102948,0,2,20,AUDUSD-T,50,08:32:00,3,M5,0.1,TRUE
9.5,0,0,TRUE,24/01/2024,0,600,5,M1,9.5,8,FingerTrap,1168102949,0,2.5,20,NZDUSD-T,50,08:32:01,3,M5,0.05,TRUE
5.75,0,0,TRUE,24/01/2024,0,600,5,M1,5.7,8,FingerTrap,1168102950,0,1.5,20,NZDUSD-T,50,08:32:01,3,M5,0.05,TRUE
7.6,0,0,TRUE,24/01/2024,0,600,5,M1,7.6,8,FingerTrap,1168102951,0,2,20,NZDUSD-T,50,08:32:01,3,M5,0.05,TRUE
-4.39,0,0,TRUE,24/01/2024,0,600,5,M1,9.76,8,FingerTrap,1168103842,0,2.5,20,USDJPY-T,50,39:00.3,3,M5,0.18,FALSE
-4.27,0,0,TRUE,24/01/2024,0,600,5,M1,5.86,8,FingerTrap,1168103843,0,1.5,20,USDJPY-T,50,39:00.4,3,M5,0.18,FALSE
-4.27,0,0,TRUE,24/01/2024,0,600,5,M1,7.81,8,FingerTrap,1168103844,0,2,20,USDJPY-T,50,39:00.5,3,M5,0.18,FALSE
-3.81,0,0,TRUE,24/01/2024,0,600,5,M1,9.52,8,FingerTrap,1168103888,0,2.5,20,USDCAD-T,50,40:00.5,3,M5,0.08,FALSE
