actual_profit,ask,bid,closed,date,deal,ecc,etf,expected_profit,first_sma,mfi_sma,name,order,price,second_sma,symbol,tcc,time,ttf,volume,win
-5.68,0.0,0.0,True,2024-01-24,0,576,M15,10.39,5,15,RADI,1168092194,0.0,15,USDJPY-T,48,04:00:02.201378,H1,0.24,False
-4.14,0.0,0.0,True,2024-01-24,0,576,M15,7.8,5,15,RADI,1168096976,0.0,15,USDJPY-T,48,07:15:01.588554,H1,0.18,False
6.83,0.0,0.0,True,2024-01-24,0,576,M15,7.8,5,15,RADI,1168101028,0.0,15,USDJPY-T,48,08:15:00.937888,H1,0.18,True
-4.4,0.0,0.0,True,2024-01-24,0,576,M15,8.0,5,15,RADI,1168102487,0.0,15,GBPUSD-T,48,08:30:01.374591,H1,0.1,False
-3.75,0.0,0.0,True,2024-01-24,0,576,M15,7.6,5,15,RADI,1168107873,0.0,15,NZDUSD-T,48,09:30:01.114588,H1,0.05,False
-5.04,0.0,0.0,True,2024-01-24,0,576,M15,10.41,5,15,RADI,1168112908,0.0,15,USDJPY-T,48,10:15:01.159828,H1,0.24,False
-4.52,0.0,0.0,True,2024-01-24,0,576,M15,7.82,5,15,RADI,1168123186,0.0,15,USDJPY-T,48,12:45:00.960908,H1,0.18,False
-4.2,0.0,0.0,True,2024-01-24,0,576,M15,8.0,5,15,RADI,1168156332,0.0,15,GBPUSD-T,48,17:15:00.718146,H1,0.1,False
