actual_profit,ask,bid,closed,closer,date,deal,ecc,entry_ema,etf,expected_profit,fast_ema,name,order,price,slow_ema,symbol,tcc,time,ttf,volume,win
0,8592.76,8591.35,False,<function ema_closer at 0x0000015432A82520>,2024-04-02,1981135901,1440,5,M5,6.0,8,FingerTrap,5084001318,8591.35,20,Volatility 75 (1s) Index,720,23:45:01.344908,H1,0.05,False
0,234150.93,234100.6,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981152941,1440,5,M5,6.0,8,FingerTrap,5084018432,234150.93,20,Volatility 75 Index,720,00:40:02.260193,H1,0.001,False
0,8532.13,8530.72,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981155926,1440,5,M5,6.0,8,FingerTrap,5084021441,8530.72,20,Volatility 75 (1s) Index,720,00:50:01.205802,H1,0.05,False
0,236207.32,236156.99,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981169986,1440,5,M5,6.0,8,FingerTrap,5084035570,236207.32,20,Volatility 75 Index,720,01:40:02.263498,H1,0.001,False
0,541962.78,541926.37,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981171420,1440,5,M5,6.0,8,FingerTrap,5084037015,541962.78,20,Volatility 25 (1s) Index,720,01:45:01.222070,H1,0.005,False
0,8537.18,8535.77,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981174364,1440,5,M5,6.0,8,FingerTrap,5084040016,8535.77,20,Volatility 75 (1s) Index,720,01:55:01.220174,H1,0.05,False
0,8525.65,8524.24,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981175646,1440,5,M5,6.0,8,FingerTrap,5084041341,8524.24,20,Volatility 75 (1s) Index,720,02:00:01.967134,H1,0.05,False
0,2301.925,2301.773,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981183737,1440,5,M5,6.0,8,FingerTrap,5084049442,2301.773,20,Volatility 25 Index,720,02:30:02.583202,H1,0.5,False
0,1452.43,1451.98,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981183751,1440,5,M5,6.0,8,FingerTrap,5084049464,1451.98,20,Volatility 100 (1s) Index,720,02:30:03.205372,H1,0.2,False
0,6607.768,6607.594,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981189259,1440,5,M5,6.0,8,FingerTrap,5084055031,6607.768,20,Volatility 10 Index,720,02:50:02.206092,H1,0.5,False
0,2301.332,2301.18,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981192117,1440,5,M5,6.0,8,FingerTrap,5084057876,2301.18,20,Volatility 25 Index,720,03:00:02.850798,H1,0.5,False
0,6607.784,6607.61,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981192138,1440,5,M5,6.0,8,FingerTrap,5084057927,6607.784,20,Volatility 10 Index,720,03:00:04.225139,H1,0.5,False
0,8530.1,8528.69,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981200597,1440,5,M5,6.0,8,FingerTrap,5084066453,8528.69,20,Volatility 75 (1s) Index,720,03:25:01.332289,H1,0.05,False
0,183975.06,183952.75,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981206635,1440,5,M5,6.0,8,FingerTrap,5084072630,183975.06,20,Volatility 50 (1s) Index,720,03:45:01.283756,H1,0.005,False
0,543038.2,543001.79,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981211466,1440,5,M5,6.0,8,FingerTrap,5084077642,543038.2,20,Volatility 25 (1s) Index,720,04:00:01.601042,H1,0.005,False
0,265.7629,265.7279,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981218317,1440,5,M5,6.0,8,FingerTrap,5084084612,265.7629,20,Volatility 50 Index,720,04:20:02.295875,H1,4.0,False
0,6620.589,6620.415,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981219853,1440,5,M5,6.0,8,FingerTrap,5084086162,6620.589,20,Volatility 10 Index,720,04:25:02.231233,H1,0.5,False
0,1517.33,1516.88,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981221652,1440,5,M5,6.0,8,FingerTrap,5084087955,1517.33,20,Volatility 100 (1s) Index,720,04:30:01.277126,H1,0.2,False
0,2293.299,2293.147,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981227886,1440,5,M5,6.0,8,FingerTrap,5084094283,2293.147,20,Volatility 25 Index,720,04:50:02.291585,H1,0.5,False
0,9671.89,9671.63,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981237220,1440,5,M5,6.0,8,FingerTrap,5084103762,9671.89,20,Volatility 10 (1s) Index,720,05:15:02.271668,H1,0.5,False
0,266.2698,266.2348,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981238950,1440,5,M5,6.0,8,FingerTrap,5084105466,266.2698,20,Volatility 50 Index,720,05:20:02.263873,H1,4.0,False
0,2294.035,2293.883,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981240409,1440,5,M5,6.0,8,FingerTrap,5084106926,2293.883,20,Volatility 25 Index,720,05:25:02.232833,H1,0.5,False
0,542722.23,542685.82,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981244018,1440,5,M5,6.0,8,FingerTrap,5084110570,542722.23,20,Volatility 25 (1s) Index,720,05:35:01.272760,H1,0.005,False
0,266.5284,266.4934,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981255177,1440,5,M5,6.0,8,FingerTrap,5084121818,266.5284,20,Volatility 50 Index,720,06:05:02.347983,H1,4.0,False
0,543191.56,543155.15,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981259261,1440,5,M5,6.0,8,FingerTrap,5084125940,543191.56,20,Volatility 25 (1s) Index,720,06:15:01.550935,H1,0.005,False
0,6620.997,6620.823,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981266845,1440,5,M5,6.0,8,FingerTrap,5084133586,6620.997,20,Volatility 10 Index,720,06:30:02.406587,H1,0.5,False
0,185133.06,185110.75,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981269340,1440,5,M5,6.0,8,FingerTrap,5084136103,185133.06,20,Volatility 50 (1s) Index,720,06:35:01.290954,H1,0.005,False
0,268.3991,268.3641,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981282201,1440,5,M5,6.0,8,FingerTrap,5084149014,268.3991,20,Volatility 50 Index,720,07:05:02.238524,H1,4.0,False
0,9669.15,9668.89,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981292000,1440,5,M5,6.0,8,FingerTrap,5084158873,9669.15,20,Volatility 10 (1s) Index,720,07:25:01.228563,H1,0.5,False
0,545288.75,545252.34,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981294161,1440,5,M5,6.0,8,FingerTrap,5084161070,545288.75,20,Volatility 25 (1s) Index,720,07:30:02.306726,H1,0.005,False
0,1496.37,1495.92,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981298216,1440,5,M5,6.0,8,FingerTrap,5084165135,1496.37,20,Volatility 100 (1s) Index,720,07:40:01.293546,H1,0.2,False
0,235372.35,235322.02,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981301174,1440,5,M5,6.0,8,FingerTrap,5084168073,235372.35,20,Volatility 75 Index,720,07:45:02.274016,H1,0.001,False
0,266.3087,266.2737,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981316366,1440,5,M5,6.0,8,FingerTrap,5084183284,266.3087,20,Volatility 50 Index,720,08:15:02.477133,H1,4.0,False
0,6644.424,6644.25,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981322114,1440,5,M5,6.0,8,FingerTrap,5084189083,6644.424,20,Volatility 10 Index,720,08:25:02.306226,H1,0.5,False
0,543609.68,543573.27,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981324863,1440,5,M5,6.0,8,FingerTrap,5084191925,543609.68,20,Volatility 25 (1s) Index,720,08:30:01.371382,H1,0.005,False
0,235649.18,235598.85,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981324899,1440,5,M5,6.0,8,FingerTrap,5084191952,235649.18,20,Volatility 75 Index,720,08:30:02.279538,H1,0.001,False
0,9672.63,9672.37,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981327042,1440,5,M5,6.0,8,FingerTrap,5084194135,9672.63,20,Volatility 10 (1s) Index,720,08:35:01.196971,H1,0.5,False
0,9680.01,9679.75,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981350199,1440,5,M5,6.0,8,FingerTrap,5084217446,9680.01,20,Volatility 10 (1s) Index,720,09:20:01.198973,H1,0.5,False
0,6651.916,6651.742,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981350218,1440,5,M5,6.0,8,FingerTrap,5084217456,6651.916,20,Volatility 10 Index,720,09:20:02.230238,H1,0.5,False
0,543440.21,543403.8,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981368019,1440,5,M5,6.0,8,FingerTrap,5084235388,543440.21,20,Volatility 25 (1s) Index,720,09:55:01.271986,H1,0.005,False
0,2289.212,2289.06,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981370136,1440,5,M5,6.0,8,FingerTrap,5084237489,2289.06,20,Volatility 25 Index,720,10:00:02.782498,H1,0.5,False
0,6654.768,6654.594,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981375493,1440,5,M5,6.0,8,FingerTrap,5084242877,6654.768,20,Volatility 10 Index,720,10:10:02.217037,H1,0.5,False
0,543578.35,543541.94,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981385019,1440,5,M5,6.0,8,FingerTrap,5084252464,543578.35,20,Volatility 25 (1s) Index,720,10:30:01.573338,H1,0.005,False
0,235357.1,235306.77,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981387868,1440,5,M5,6.0,8,FingerTrap,5084255298,235357.1,20,Volatility 75 Index,720,10:35:02.269998,H1,0.001,False
