actual_profit,ask,bid,closed,closer,date,deal,ecc,etf,expected_profit,first_ema,name,order,price,second_ema,symbol,tcc,third_ema,time,trend,ttf,volume,win
0,8585.79,8584.38,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981141200,96,M15,12.0,13,FingerFractal,5084006626,8585.79,21,Volatility 75 (1s) Index,720,34,00:00:03.925611,2,H4,0.05,False
0,183947.28,183924.97,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981141211,96,M15,12.0,13,FingerFractal,5084006635,183947.28,21,Volatility 50 (1s) Index,720,34,00:00:06.269912,2,H4,0.005,False
0,235057.2,235006.87,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981141229,96,M15,12.0,13,FingerFractal,5084006638,235057.2,21,Volatility 75 Index,720,34,00:00:06.269912,2,H4,0.001,False
0,6618.985,6618.811,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981158745,96,M15,12.0,13,FingerFractal,5084024280,6618.985,21,Volatility 10 Index,720,34,01:00:03.317312,2,H4,0.5,False
0,1471.82,1471.37,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981158772,96,M15,12.0,13,FingerFractal,5084024314,1471.37,21,Volatility 100 (1s) Index,720,34,01:00:03.411501,2,H4,0.2,False
0,230234.89,230184.56,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981211492,96,M15,12.0,13,FingerFractal,5084077665,230234.89,21,Volatility 75 Index,720,34,04:00:02.803704,2,H4,0.001,False
0,183732.95,183710.64,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981211531,96,M15,12.0,13,FingerFractal,5084077700,183732.95,21,Volatility 50 (1s) Index,720,34,04:00:05.209957,2,H4,0.005,False
0,8545.52,8544.11,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981211515,96,M15,12.0,13,FingerFractal,5084077681,8545.52,21,Volatility 75 (1s) Index,720,34,04:00:05.256932,2,H4,0.05,False
0,6615.915,6615.741,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981211539,96,M15,12.0,13,FingerFractal,5084077711,6615.915,21,Volatility 10 Index,720,34,04:00:06.210189,2,H4,0.5,False
0,1502.3,1501.85,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981231718,96,M15,12.0,13,FingerFractal,5084098199,1501.85,21,Volatility 100 (1s) Index,720,34,05:00:01.545649,2,H4,0.2,False
0,9676.84,9676.58,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981308164,96,M15,12.0,13,FingerFractal,5084175055,9676.84,21,Volatility 10 (1s) Index,720,34,08:00:01.960009,2,H4,0.5,False
0,235281.17,235230.84,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981308212,96,M15,12.0,13,FingerFractal,5084175122,235281.17,21,Volatility 75 Index,720,34,08:00:04.440571,2,H4,0.001,False
0,6643.781,6643.607,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981308232,96,M15,12.0,13,FingerFractal,5084175135,6643.781,21,Volatility 10 Index,720,34,08:00:08.268828,2,H4,0.5,False
0,8657.99,8656.58,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981340702,96,M15,12.0,13,FingerFractal,5084207845,8657.99,21,Volatility 75 (1s) Index,720,34,09:00:02.348239,2,H4,0.05,False
0,187016.3,186993.99,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981340713,96,M15,12.0,13,FingerFractal,5084207854,187016.3,21,Volatility 50 (1s) Index,720,34,09:00:03.270114,2,H4,0.005,False
0,1484.74,1484.29,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981370155,96,M15,12.0,13,FingerFractal,5084237548,1484.29,21,Volatility 100 (1s) Index,720,34,10:00:04.282695,2,H4,0.2,False
0,183842.11,183819.8,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981432244,96,M15,12.0,13,FingerFractal,5084299997,183842.11,21,Volatility 50 (1s) Index,720,34,12:00:02.899573,2,H4,0.005,False
0,6645.991,6645.817,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981432271,96,M15,12.0,13,FingerFractal,5084300027,6645.991,21,Volatility 10 Index,720,34,12:00:04.227678,2,H4,0.5,False
0,234766.89,234716.56,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981432310,96,M15,12.0,13,FingerFractal,5084300050,234766.89,21,Volatility 75 Index,720,34,12:00:07.293999,2,H4,0.001,False
0,9696.09,9695.83,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981432332,96,M15,12.0,13,FingerFractal,5084300073,9696.09,21,Volatility 10 (1s) Index,720,34,12:00:07.307700,2,H4,0.5,False
0,2270.514,2270.362,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981467754,96,M15,12.0,13,FingerFractal,5084335579,2270.362,21,Volatility 25 Index,720,34,13:00:04.343635,2,H4,0.5,False
0,1490.16,1489.71,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981467764,96,M15,12.0,13,FingerFractal,5084335602,1489.71,21,Volatility 100 (1s) Index,720,34,13:00:05.233942,2,H4,0.2,False
0,8592.71,8591.3,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981504897,96,M15,12.0,13,FingerFractal,5084372707,8592.71,21,Volatility 75 (1s) Index,720,34,14:00:03.252353,2,H4,0.05,False
0,261.5573,261.5223,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981504918,96,M15,12.0,13,FingerFractal,5084372724,261.5223,21,Volatility 50 Index,720,34,14:00:04.158582,2,H4,4.0,False
0,186310.44,186288.13,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981580685,96,M15,12.0,13,FingerFractal,5084448836,186310.44,21,Volatility 50 (1s) Index,720,34,16:00:05.236732,2,H4,0.005,False
0,1502.31,1501.86,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981580675,96,M15,12.0,13,FingerFractal,5084448834,1501.86,21,Volatility 100 (1s) Index,720,34,16:00:05.377339,2,H4,0.2,False
0,8609.37,8607.96,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981580666,96,M15,12.0,13,FingerFractal,5084448824,8609.37,21,Volatility 75 (1s) Index,720,34,16:00:05.502321,2,H4,0.05,False
0,257.4071,257.3721,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981615318,96,M15,12.0,13,FingerFractal,5084484368,257.3721,21,Volatility 50 Index,720,34,17:00:04.306905,2,H4,4.0,False
0,239313.29,239262.96,False,<function ema_closer at 0x000001E6D0D32520>,2024-04-04,1981812509,96,M15,12.0,13,FingerFractal,5084682147,239313.29,21,Volatility 75 Index,720,34,00:00:04.324156,2,H4,0.001,False
0,188726.26,188703.95,False,<function ema_closer at 0x000001E6D0D32520>,2024-04-04,1981812502,96,M15,12.0,13,FingerFractal,5084682135,188726.26,21,Volatility 50 (1s) Index,720,34,00:00:04.278459,2,H4,0.005,False
0,2275.681,2275.529,False,<function ema_closer at 0x000001E6D0D32520>,2024-04-04,1981831730,96,M15,12.0,13,FingerFractal,5084701454,2275.529,21,Volatility 25 Index,720,34,01:00:02.503137,2,H4,0.5,False
0,1479.45,1479.0,False,<function ema_closer at 0x000001E6D0D32520>,2024-04-04,1981847026,96,M15,12.0,13,FingerFractal,5084716817,1479.0,21,Volatility 100 (1s) Index,720,34,02:00:05.210850,2,H4,0.2,False
0,188944.55,188922.24,False,<function ema_closer at 0x000001E6D0D32520>,2024-04-04,1981879446,96,M15,12.0,13,FingerFractal,5084750233,188944.55,21,Volatility 50 (1s) Index,720,34,04:00:02.358546,2,H4,0.005,False
0,235904.04,235853.71,False,<function ema_closer at 0x000001E6D0D32520>,2024-04-04,1981879466,96,M15,12.0,13,FingerFractal,5084750237,235904.04,21,Volatility 75 Index,720,34,04:00:04.186813,2,H4,0.001,False
0,190147.03,190124.72,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1981899736,96,M15,12.0,13,FingerFractal,5084771401,190147.03,21,Volatility 50 (1s) Index,720,34,05:00:05.207308,2,H4,0.005,False
0,237007.63,236957.3,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1981899725,96,M15,12.0,13,FingerFractal,5084771388,237007.63,21,Volatility 75 Index,720,34,05:00:04.285087,2,H4,0.001,False
0,2271.625,2271.473,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1981921693,96,M15,12.0,13,FingerFractal,5084794469,2271.473,21,Volatility 25 Index,720,34,06:00:02.582205,2,H4,0.5,False
0,9654.65,9654.39,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1981947729,96,M15,12.0,13,FingerFractal,5084820496,9654.65,21,Volatility 10 (1s) Index,720,34,07:00:02.279195,2,H4,0.5,False
0,191441.16,191418.85,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1981974122,96,M15,12.0,13,FingerFractal,5084846891,191441.16,21,Volatility 50 (1s) Index,720,34,08:00:03.728687,2,H4,0.005,False
0,2273.439,2273.287,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1981974147,96,M15,12.0,13,FingerFractal,5084846913,2273.287,21,Volatility 25 Index,720,34,08:00:08.243675,2,H4,0.5,False
0,233775.96,233725.63,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1981974162,96,M15,12.0,13,FingerFractal,5084846929,233775.96,21,Volatility 75 Index,720,34,08:00:08.243675,2,H4,0.001,False
0,9665.23,9664.97,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1981999808,96,M15,12.0,13,FingerFractal,5084873121,9665.23,21,Volatility 10 (1s) Index,720,34,09:00:01.889170,2,H4,0.5,False
0,261.079,261.044,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1982059638,96,M15,12.0,13,FingerFractal,5084934068,261.044,21,Volatility 50 Index,720,34,11:00:04.269307,2,H4,4.0,False
0,189353.82,189331.51,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1982089949,96,M15,12.0,13,FingerFractal,5084964734,189353.82,21,Volatility 50 (1s) Index,720,34,12:00:03.301438,2,H4,0.005,False
0,9651.86,9651.6,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1982124279,96,M15,12.0,13,FingerFractal,5084999577,9651.86,21,Volatility 10 (1s) Index,720,34,13:00:03.278267,2,H4,0.5,False
0,261.7636,261.7286,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1982124280,96,M15,12.0,13,FingerFractal,5084999583,261.7286,21,Volatility 50 Index,720,34,13:00:04.214502,2,H4,4.0,False
0,2265.737,2265.585,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1982163044,96,M15,12.0,13,FingerFractal,5085038628,2265.585,21,Volatility 25 Index,720,34,14:00:04.256069,2,H4,0.5,False
0,230064.31,230013.98,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1982163067,96,M15,12.0,13,FingerFractal,5085038634,230064.31,21,Volatility 75 Index,720,34,14:00:06.365625,2,H4,0.001,False
0,2256.687,2256.535,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1982230848,96,M15,12.0,13,FingerFractal,5085107441,2256.535,21,Volatility 25 Index,720,34,16:00:04.218905,2,H4,0.5,False
0,260.3095,260.2745,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1982230894,96,M15,12.0,13,FingerFractal,5085107459,260.2745,21,Volatility 50 Index,720,34,16:00:06.296925,2,H4,4.0,False
0,192154.61,192129.64,False,<function ema_closer at 0x00000140113825C0>,2024-04-08,1984598852,96,M15,15.0,5,FingerFractal,5087529207,192154.61,8,Volatility 50 (1s) Index,720,13,04:00:09.287936,2,H4,0.005,False
0,273.1652,273.1302,False,<function ema_closer at 0x00000140113825C0>,2024-04-08,1984598847,96,M15,15.0,5,FingerFractal,5087529191,273.1652,8,Volatility 50 Index,720,13,04:00:08.299949,2,H4,4.0,False
0,2336.773,2336.62,False,<function ema_closer at 0x00000140113825C0>,2024-04-08,1984598830,96,M15,15.0,5,FingerFractal,5087529182,2336.773,8,Volatility 25 Index,720,13,04:00:06.268663,2,H4,0.5,False
0,1471.12,1470.69,False,<function ema_closer at 0x00000140113825C0>,2024-04-08,1984621344,96,M15,15.0,5,FingerFractal,5087553946,1470.69,8,Volatility 100 (1s) Index,720,13,05:00:05.184769,2,H4,0.2,False
0,219269.44,219215.75,False,<function ema_closer at 0x00000140113825C0>,2024-04-08,1984645433,96,M15,15.0,5,FingerFractal,5087579872,219215.75,8,Volatility 75 Index,720,13,06:00:04.315766,2,H4,0.001,False
0,529448.24,529412.72,False,<function ema_closer at 0x00000140113825C0>,2024-04-08,1984645458,96,M15,15.0,5,FingerFractal,5087579901,529412.72,8,Volatility 25 (1s) Index,720,13,06:00:07.237649,2,H4,0.005,False
