actual_profit,ask,bid,closed,closer,date,deal,ecc,etf,expected_profit,first_ema,name,order,price,second_ema,symbol,tcc,time,ttf,volume,win
0,2308.298,2308.145,False,<function ema_closer at 0x0000022D63C225C0>,2024-04-06,3763285977,2880,M15,12.0,8,RMomentum,3848530090,2308.298,25,Volatility 25 Index,720,12:15:02.166316,H4,0.5,False
0,6577.005,6576.832,False,<function ema_closer at 0x0000022D63C225C0>,2024-04-06,3763342913,2880,M15,12.0,8,RMomentum,3848589975,6576.832,25,Volatility 10 Index,720,13:00:02.154994,H4,0.5,False
0,9746.14,9745.88,False,<function ema_closer at 0x0000022D63C225C0>,2024-04-06,3763547452,2880,M15,12.0,8,RMomentum,3848800482,9746.14,25,Volatility 10 (1s) Index,720,15:45:01.142722,H4,0.5,False
0,2310.007,2309.854,False,<function ema_closer at 0x0000022D63C225C0>,2024-04-06,3763736865,2880,M15,12.0,8,RMomentum,3848996150,2310.007,25,Volatility 25 Index,720,18:15:04.156387,H4,0.5,False
0,184048.0,184023.03,False,<function ema_closer at 0x0000022D63C225C0>,2024-04-06,3763843788,2880,M15,12.0,8,RMomentum,3849106089,184023.03,25,Volatility 50 (1s) Index,720,19:45:01.171742,H4,0.005,False
0,220449.47,220395.78,False,<function ema_closer at 0x0000022D63C225C0>,2024-04-06,3763964551,2880,M15,12.0,8,RMomentum,3849231356,220395.78,25,Volatility 75 Index,720,21:30:02.224470,H4,0.001,False
0,8205.67,8204.05,False,<function ema_closer at 0x0000022D63C225C0>,2024-04-06,3763994648,2880,M15,12.0,8,RMomentum,3849262081,8204.05,25,Volatility 75 (1s) Index,720,22:00:02.285170,H4,0.05,False
0,2303.907,2303.754,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3764192469,2880,M15,30.0,8,RMomentum,3849464946,2303.907,25,Volatility 25 Index,720,02:45:02.232198,H4,0.5,False
0,529429.57,529394.05,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3764218514,2880,M15,30.0,8,RMomentum,3849491225,529394.05,25,Volatility 25 (1s) Index,720,03:30:01.205461,H4,0.005,False
0,530037.07,530001.55,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3764245538,2880,M15,30.0,8,RMomentum,3849518447,530001.55,25,Volatility 25 (1s) Index,720,04:15:01.238294,H4,0.005,False
0,221548.24,221494.55,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3764325512,2880,M15,30.0,8,RMomentum,3849603012,221494.55,25,Volatility 75 Index,720,06:00:02.341905,H4,0.001,False
0,6591.606,6591.433,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3764375637,2880,M15,30.0,8,RMomentum,3849656715,6591.433,25,Volatility 10 Index,720,07:00:02.378990,H4,0.5,False
0,9723.47,9723.21,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3764404886,2880,M15,30.0,8,RMomentum,3849687796,9723.47,25,Volatility 10 (1s) Index,720,07:30:02.204271,H4,0.5,False
0,6606.631,6606.458,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3764449914,2880,M15,30.0,8,RMomentum,3849736109,6606.631,25,Volatility 10 Index,720,08:15:02.188415,H4,0.5,False
0,1517.41,1516.98,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3764507376,2880,M15,30.0,8,RMomentum,3849796513,1516.98,25,Volatility 100 (1s) Index,720,09:15:01.213629,H4,0.2,False
0,190777.48,190752.51,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3764522672,2880,M15,30.0,8,RMomentum,3849812249,190777.48,25,Volatility 50 (1s) Index,720,09:30:02.179207,H4,0.005,False
0,9711.18,9710.92,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3764554364,2880,M15,30.0,8,RMomentum,3849844907,9711.18,25,Volatility 10 (1s) Index,720,10:00:02.175113,H4,0.5,False
0,223722.35,223668.66,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3764570283,2880,M15,30.0,8,RMomentum,3849861451,223722.35,25,Volatility 75 Index,720,10:15:02.147767,H4,0.001,False
0,533003.89,532968.37,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3764584942,2880,M15,30.0,8,RMomentum,3849876562,532968.37,25,Volatility 25 (1s) Index,720,10:30:01.214700,H4,0.005,False
0,190901.09,190876.12,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3764681945,2880,M15,30.0,8,RMomentum,3849976949,190901.09,25,Volatility 50 (1s) Index,720,12:00:02.201467,H4,0.005,False
0,273.8771,273.8421,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3764819129,2880,M15,30.0,8,RMomentum,3850118692,273.8771,25,Volatility 50 Index,720,14:00:04.340871,H4,4.0,False
0,2316.918,2316.765,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3764836325,2880,M15,30.0,8,RMomentum,3850136787,2316.918,25,Volatility 25 Index,720,14:15:02.160673,H4,0.5,False
0,6595.614,6595.441,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3764855082,2880,M15,30.0,8,RMomentum,3850156646,6595.614,25,Volatility 10 Index,720,14:30:02.184513,H4,0.5,False
0,223990.77,223937.08,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3764911952,2880,M15,30.0,8,RMomentum,3850215920,223990.77,25,Volatility 75 Index,720,15:15:02.156603,H4,0.001,False
0,532500.5,532464.98,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3765059626,2880,M15,30.0,8,RMomentum,3850371171,532464.98,25,Volatility 25 (1s) Index,720,17:15:02.152937,H4,0.005,False
