actual_profit,ask,bid,cap,closed,closer,date,deal,ecc,etf,expected_profit,first_sma,fourth_sma,interval,mfi_length,name,ntr,order,price,second_sma,symbol,tcc,third_sma,time,ttf,volume,win
0,6619.821,6619.647,5,False,<function ema_closer at 0x0000017D4E9E2520>,2024-04-03,3758245022,4320,M15,12.0,5,15,180,14,PostNut,True,3843333549,6619.821,9,Volatility 10 Index,720,2,00:48:02.233063,M15,0.5,False
0,8603.04,8601.63,5,False,<function ema_closer at 0x0000017D4E9E2520>,2024-04-03,3758415669,4320,M15,12.0,5,15,180,14,PostNut,True,3843512046,8603.04,9,Volatility 75 (1s) Index,720,2,05:00:03.200206,M15,0.05,False
0,8578.74,8577.33,5,False,<function ema_closer at 0x0000017D4E9E2520>,2024-04-03,3759108697,4320,M15,12.0,5,15,180,14,PostNut,True,3844230328,8578.74,9,Volatility 75 (1s) Index,720,2,15:15:01.566301,M15,0.05,False
0,546803.47,546767.06,5,False,<function ema_closer at 0x00000144B85F2520>,2024-04-04,3759708248,4320,M15,12.0,5,15,180,14,PostNut,True,3844849271,546767.06,9,Volatility 25 (1s) Index,720,2,00:48:01.221376,M15,0.005,False
0,235334.63,235284.3,5,False,<function ema_closer at 0x00000144B85F2520>,2024-04-04,3759835926,4320,M15,12.0,5,15,180,14,PostNut,True,3844979865,235284.3,9,Volatility 75 Index,720,2,04:15:02.372862,M15,0.001,False
0,8346.34,8344.93,5,False,<function ema_closer at 0x000001AB05582520>,2024-04-04,3759929812,4320,M15,12.0,5,15,180,14,PostNut,True,3845077221,8346.34,9,Volatility 75 (1s) Index,720,2,06:15:01.583601,M15,0.05,False
0,6566.594,6566.42,5,False,<function ema_closer at 0x000001AB05582520>,2024-04-04,3760394165,4320,M15,12.0,5,15,180,14,PostNut,True,3845552019,6566.42,9,Volatility 10 Index,720,2,13:18:02.314611,M15,0.5,False
0,229818.27,229767.94,5,False,<function ema_closer at 0x000001AB05582520>,2024-04-04,3760507310,4320,M15,12.0,5,15,180,14,PostNut,True,3845667136,229818.27,9,Volatility 75 Index,720,2,14:45:02.234102,M15,0.001,False
0,6563.681,6563.507,5,False,<function ema_closer at 0x000001AB05582520>,2024-04-04,3760793920,4320,M15,12.0,5,15,180,14,PostNut,True,3845962891,6563.681,9,Volatility 10 Index,720,2,18:30:02.237183,M15,0.5,False
0,1586.46,1586.01,5,False,<function ema_closer at 0x000001AB05582520>,2024-04-05,3761185219,4320,M15,12.0,5,15,180,14,PostNut,True,3846372534,1586.01,9,Volatility 100 (1s) Index,720,2,01:30:01.296850,M15,0.2,False
0,9652.29,9652.03,5,False,<function ema_closer at 0x000001AB05582520>,2024-04-05,3761736758,4320,M15,12.0,5,15,180,14,PostNut,True,3846934374,9652.03,9,Volatility 10 (1s) Index,720,2,11:18:03.228071,M15,0.5,False
0,191189.64,191164.67,5,False,<function ema_closer at 0x000001AB05582520>,2024-04-05,3762318945,4320,M15,12.0,5,15,180,14,PostNut,True,3847530903,191189.64,9,Volatility 50 (1s) Index,720,2,18:15:01.345732,M15,0.005,False
