actual_profit,ask,bid,closed,date,deal,ecc,etf,expected_profit,name,order,price,rsi_lower,rsi_upper,symbol,tcc,time,ttf,used_fractal,volume,win
0.5,0.0,0.0,True,2024-01-24,0,192,M30,12.0,ADIMACD,1168153184,0.0,35,65,EURUSD-T,24,16:30:00.701229,H4,True,0.02,True
0.75,0.0,0.0,True,2024-01-24,0,192,M30,8.86,ADIMACD,1168169760,0.0,35,65,EURUSD-T,24,20:00:03.149195,H4,True,0.01,True
