actual_profit,ask,bid,closed,date,deal,ecc,etf,expected_profit,first_sma,name,order,price,rsi_period,rsi_sma,second_sma,symbol,tcc,third_sma,time,ttf,used_fractal,volume,win
0,6792.651,6792.488,False,2024-01-24,1940665644,192,M15,23.92,5,FractalRADI,5041856243,6792.651,9,20,9,Volatility 10 Index,48,15,06:00:02.361187,H1,True,1.6,False
0,211222.57,211199.83,False,2024-01-24,1940684153,192,M15,23.04,5,FractalRADI,5041878757,211222.57,9,20,9,Volatility 50 (1s) Index,48,15,07:00:02.661305,H1,True,0.008,False
0,6782.993,6782.83,False,2024-01-24,1940704794,192,M15,23.98,5,FractalRADI,5041902367,6782.993,9,20,9,Volatility 10 Index,48,15,08:00:01.447216,H1,True,5.89,False
0,515839.83,515809.99,False,2024-01-24,1940704939,192,M15,22.72,5,FractalRADI,5041902528,515809.99,9,20,9,Volatility 25 (1s) Index,48,15,08:00:06.216652,H1,True,0.016,False
0,6781.529,6781.366,False,2024-01-24,1940725936,192,M15,23.94,5,FractalRADI,5041925879,6781.529,9,20,9,Volatility 10 Index,48,15,09:00:01.916834,H1,True,3.42,False
0,262681.95,262628.95,False,2024-01-24,1940889847,192,M15,20.31,5,FractalRADI,5042106307,262681.95,9,20,9,Volatility 75 Index,48,15,16:00:02.641871,H1,True,0.002,False
