actual_profit,ask,bid,closed,date,deal,ecc,etf,expected_profit,name,order,price,rsi_lower,rsi_upper,symbol,tcc,time,ttf,used_fractal,volume,win
0,8300.37,8298.84,False,2024-01-24,1940694304,192,M30,23.9,ADIMACD,5041890517,8298.84,35,65,Volatility 75 (1s) Index,24,07:30:00.842888,H4,True,0.114,False
0,8301.73,8300.2,False,2024-01-24,1940704943,192,M30,23.98,ADIMACD,5041902529,8300.2,35,65,Volatility 75 (1s) Index,24,08:00:06.417231,H4,True,0.115,False
